APIES,RAZON_SOCIAL,DIRECCION,LOCALIDAD,PARTIDO,PROVINCIA,REGISTRO_AUTOMOTOR,CODIGO_POSTAL
1708,ACA LINCOLN,AVENIDA MASSEY Y RAWSON,LINCOLN,LINCOLN,BUENOS AIRES,LINCOLN,6070
1728,OPESSA ALBERTI,ALBERTI Y BUENOS AIRES,MAR DEL PLATA,GENERAL PUEYRREDON,BUENOS AIRES,MAR DEL PLATA,7600
1732,ACA MAR DEL PLATA BROWN,ALMIRANTE BROWN Y SANTA FE,MAR DEL PLATA,GENERAL PUEYRREDON,BUENOS AIRES,MAR DEL PLATA,7600
1734,BASSO HNOS SACIFA,AV. JUAN B. JUSTO Y TUCUMAN,MAR DEL PLATA,GENERAL PUEYRREDON,BUENOS AIRES,MAR DEL PLATA,7600
1735,BASSO HNOS SACIFA,AV. MARTINEZ DE HOZ Y ELCANO,MAR DEL PLATA,GENERAL PUEYRREDON,BUENOS AIRES,MAR DEL PLATA,7600
1786,ACA NECOCHEA,AVENIDA 59 2073 Y CALLE 48,NECOCHEA,NECOCHEA,BUENOS AIRES,NECOCHEA,7630
1798,NEUQUEN PETRO OESTE SRL,PTE ARTURO HUMBERTO ILLIA E ISLAS MALVINAS,NEUQUEN,CONFLUENCIA,NEUQUEN,NEUQUEN,8300
1807,GUAZZARONI SERGIO M Y GRECO MARGARITA M,AVENIDA MITRE Y AVENIDA AGUSTIN ALVAREZ,9 DE JULIO,9 DE JULIO,BUENOS AIRES,NUEVE DE JULIO,6500
1831,MARONO A Y MORONO MARIO A SH,JUAN MARIA GUTIERREZ Y ALSINA,PEHUAJO,PEHUAJO,BUENOS AIRES,PEHUAJO,6450
1847,OPESSA ACA PINAMAR,JASON Y JUPITER,PINAMAR,PINAMAR,BUENOS AIRES,PINAMAR,7167
1913,CHITCHIAN SA,AVENIDA BUSTILLOS Y MICHAY,BARILOCHE,BARILOCHE,RIO NEGRO,SAN CARLOS DE BARILOCHE ,8400
1925,OPESSA SAN MARTIN DE LOS ANDES,AVENIDA KOESSLER Y CURRUHUINCA,SAN MARTIN DE LOS ANDES,LACAR,NEUQUEN,SAN MARTIN DE LOS ANDES,8370
1936,PETROLURO SA,ENTRE RIOS Y AVDA AGUSTIN SPINETTO,SANTA ROSA,LA PAMPA CAPITAL,LA PAMPA,SANTA ROSA ,6300
1951,PETROTANDIL SACIEI,AVENIDA ARISTOBULO DEL VALLE Y FIGUEROA,TANDIL,TANDIL,BUENOS AIRES,TANDIL,7000
1956,OPESSA TANDIL II,AV. AVELLANEDA Y BOLIVAR,TANDIL,TANDIL,BUENOS AIRES,TANDIL,7000
1980,DON PACO COMBUSTIBLES SRL,ROCA Y ORO,TRENQUE LAUQUEN,TRENQUE LAUQUEN,BUENOS AIRES,TRENQUE LAUQUEN,6400
1984,OPESSA ACA LAVALLE,COLON Y LAVALLE,TRES ARROYOS,TRES ARROYOS,BUENOS AIRES,TRES ARROYOS,7500
1995,ACA USHUAIA,AVENIDA MALVINAS ARGENTINAS ENTRE JAINEN Y ONACHAGA,USHUAIA,USHUAIA,TIERRA DEL FUEGO,USHUAIA,9410
2011,OPESSA VILLA GESELL,AVENIDA BUENOS AIRES Y BLVD GESELL,VILLA GESELL,VILLA GESELL,BUENOS AIRES,PINAMAR,7165
2032,MANZI SRL,AVENIDA COLON 4272 ,CORDOBA,CORDOBA CAPITAL,CORDOBA,CORDOBA,5003
2039,OPESSA TEJEDOR,AV. CONSTITUCIÓN Y TEJEDOR,MAR DEL PLATA,GENERAL PUEYRREDON,BUENOS AIRES,MAR DEL PLATA,7600
2054,ECHANIZ HNOS SA,DE LOS ALEMANES 44300 ESQ SPILIMBERGO,CORDOBA,CORDOBA CAPITAL,CORDOBA,CORDOBA,5000
2056,SALGAS SA,AV. BRIG GRAL JUAN MANUEL DE ROSAS 4884 ,SAN MARTIN,SAN MARTIN,BUENOS AIRES,SAN MARTIN (BS AS),1650
2060,OPESSA CORDOBA PLANAS,AV. RAFAEL NUÑEZ 4014 Y PLANAS ,CORDOBA,CORDOBA CAPITAL,CORDOBA,CORDOBA,5009
2084,SUCESION DE REYNOSO JOSE,AVENIDA LAS MALVINAS 2595,CORDOBA,CORDOBA CAPITAL,CORDOBA,CORDOBA,5012
2100,OPESSA ACA SABATTINI,AVENIDA SABATTINI Y ACCESO RUTA NACIONAL N° 9,CORDOBA,CORDOBA CAPITAL,CORDOBA,CORDOBA,5000
2101,OPESSA CORDOBA ARGUELLO,AVENIDA RECTA MARTINOLI Y TICHO BRAHE,ARGUELLO,CORDOBA CAPITAL,CORDOBA,CORDOBA,5147
2144,ACA CORDOBA CENTRO,AVENIDA GENERAL JOSE MARIA PAZ 499 Y HUMBERTO PRIMO,CORDOBA,CORDOBA CAPITAL,CORDOBA,CORDOBA,5000
2180,FONTI DE MARTINATTO NILDA NILA Y OTROS SH,BOULEVARD FULVIO SALVADOR PAGANI 1321,ARROYITO,SAN JUSTO,CORDOBA,ARROYITO,2434
2237,"MARTINI GUSTAVO, ALEJANDRA Y CAROLINA SH",RUTA NACIONAL 9 KM (ASCENDENTE) Y TUCUMAN,MARCOS JUAREZ,MARCOS JUAREZ,CORDOBA,MARCOS JUAREZ,2580
2258,BARALE HNOS SA,AVENIDA GRAL MANUEL N SAVIO 2200,RIO TERCERO,TERCERO ARRIBA,CORDOBA,RIO TERCERO,5850
2266,VALENTIN ATILIO Y MIGUEL CAON SH,MARCELO T DE ALVEAR 829,VILLA MARIA,GRAL SAN MARTIN,CORDOBA,VILLA MARIA,5900
2362,OPESSA MATE DE LUNA I,AVENIDA MATE DE LUNA Y EJERCITO DEL NORTE,S.M.TUCUMAN,TUCUMAN CAPITAL,TUCUMAN,TUCUMAN,4000
2393,ACA RIO CUARTO,AVENIDA ESPA#A 280 Y P. ZANNI,RIO CUARTO,RIO CUARTO,CORDOBA,RIO CUARTO,5800
2398,PETROBAN SRL,AVENIDA BELGRANO 602 Y MORENO,LA BANDA,BANDA,SANTIAGO DEL ESTERO,LA BANDA,4300
2441,OPESSA SANTIAGO DEL ESTERO,AVENIDA EJERCITO ARGENTINO Y RIVADAVIA,S.DEL ESTERO,SANTIAGO DEL ESTERO CAP,SANTIAGO DEL ESTERO,SANTIAGO DEL ESTERO ,4200
2446,OPESSA TUCUMAN,B. ARAOZ Y W. POSE,S.M.TUCUMAN,TUCUMAN CAPITAL,TUCUMAN,TUCUMAN,4000
2450,TIBURCIO SANZ SA,AVENIDA SAN MARTIN (1RA CUADRA S/N) Y GUATEMALA,BANDA D.RIO SALI,CRUZ ALTA,TUCUMAN,TUCUMAN,4109
